english,spanish,part_of_speech
protagonist,el protagonista,noun
flaw,la falla,noun
execution,la ejecución,noun
orange,la naranja,noun
cop,el poli,noun
midnight,la medianoche,noun
charm,el encanto,noun
feather,la pluma,noun
dragon,el dragón,noun
boob,la teta,noun
cleanliness,la limpieza,noun
dawn,el amanecer,noun
fat or grease used in cooking,la grasa,noun
multitude,la multitud,noun
belt,el cinturón,noun
a drop or small amount of,la gota,noun
attainment,el logro,noun
loan,el préstamo,noun
canyon,el cañón,noun
excellency,la excelencia,noun
forensic examiner,el forense,noun
hostage,el rehén,noun
debility,la debilidad,noun
well,el pozo,noun
depression,la depresión,noun
independence,la independencia,noun
instinct,el instinto,noun
homeland,la patria,noun
rabbit,el conejo,noun
automobile,el automóvil,noun
hug,el abrazo,noun
salary,el sueldo,noun
turkey,el pavo,noun
ranch,la hacienda,noun
shepherd,el pastor,noun
fair,la feria,noun
bow,el arco,noun
spectator,el espectador,noun
breath,el aliento,noun
fleet,la flota,noun
muscle tissue,el músculo,noun
improvement,la mejora,noun
stagnation,el paro,noun
t-shirt,la camiseta,noun
infection,la infección,noun
portrait,el retrato,noun
landscape,el paisaje,noun
lance,la lanza,noun
anniversary,el aniversario,noun
stadium,el estadio,noun
discovery,el descubrimiento,noun
destruction,la destrucción,noun
petrol,la gasolina,noun
clown,el payaso,noun
resolution,la resolución,noun
description,la descripción,noun
diagnosis,el diagnóstico,noun
glove,el guante,noun
"diminutive of ""joven""",el jovencito,noun
relief,el socorro,noun
depth,la profundidad,noun
tournament,el torneo,noun
potato,la patata,noun
attendance,la asistencia,noun
functioning,el funcionamiento,noun
disgust,el asco,noun
component,el componente,noun
diet,la dieta,noun
reputation,la reputación,noun
surroundings,el entorno,noun
paradise,el paraíso,noun
profession,la profesión,noun
gallery,la galería,noun
probability,la probabilidad,noun
madam,la madame,noun
bloc,el bloque,noun
defeat,la derrota,noun
guesthouse,la pensión,noun
seed,la semilla,noun
visitor,el visitante,noun
noon,el mediodía,noun
acid,el ácido,noun
large and rechargeable battery,la batería,noun
stupidity,la estupidez,noun
rent,el alquiler,noun
discipline,la disciplina,noun
domain,el dominio,noun
rum,el ron,noun
possession,la posesión,noun
preparation,la preparación,noun
thread,el hilo,noun
beak,el pico,noun
suffering,el sufrimiento,noun
can,la lata,noun
highness,la alteza,noun
cemetery,el cementerio,noun
quarters,el cuartel,noun
commando,el comando,noun
broadcast,la transmisión,noun
trouble,la molestia,noun
necklace,el collar,noun
police station,la comisaría,noun
pulse,el pulso,noun
receipt,el recibo,noun
spokesperson,el portavoz,noun
increment,el incremento,noun
liquid,el líquido,noun
seriousness,la gravedad,noun
opening,la apertura,noun
user,el usuario,noun
combination,la combinación,noun
exchange,el intercambio,noun
terrorist,el terrorista,noun
championship,el campeonato,noun
custody,la custodia,noun
consideration,la consideración,noun
medal,la medalla,noun
guitar,la guitarra,noun
avenue,la avenida,noun
index,el índice,noun
route,el recorrido,noun
conception,la concepción,noun
passport,el pasaporte,noun
priority,la prioridad,noun
county,el condado,noun
village,la aldea,noun
liberation,la liberación,noun
subtitle,el subtítulo,noun
fingernail,la uña,noun
ally which is associated with another for a common cause,el aliado,noun
arab,el árabe,noun
calculation,el cálculo,noun
percentage,el porcentaje,noun
mouse,el ratón,noun
"clipping of ""supermercado""",el súper,noun
collaboration,la colaboración,noun
bell,la campana,noun
bushes,el mato,noun
nucleus,el núcleo,noun
prescription,la receta,noun
tiger,el tigre,noun
"synonym of ""disciplina""",la cuarta,noun
oblivion,el olvido,noun
crew of a ship,la tripulación,noun
lung,el pulmón,noun
oration,la oración,noun
elevator,el ascensor,noun
metric ton,la tonelada,noun
breast,el seno,noun
corruption,la corrupción,noun
reservoir,la presa,noun
definition,la definición,noun
escape,la fuga,noun
bishop,el obispo,noun
sandwich,el sándwich,noun
portia tree,el miro,noun
ticket,el boleto,noun
firefighter,el bombero,noun
beard,la barba,noun
a greek,el griego,noun
beating,la paliza,noun
excess,el exceso,noun
tomato,el tomate,noun
circuit,el circuito,noun
patrol,la patrulla,noun
context,el contexto,noun
satellite,el satélite,noun
evaluation,la evaluación,noun
celebration,la celebración,noun
profit,la ganancia,noun
confession,la confesión,noun
appreciation,el aprecio,noun
champan,el champán,noun
juice,el jugo,noun
dignity,la dignidad,noun
mistake,el fallo,noun
crop,el cultivo,noun
dessert,el postre,noun
variety,la variedad,noun
thirst,la sed,noun
electricity,la electricidad,noun
applause,el aplauso,noun
delinquent,el delincuente,noun
refusal,la negativa,noun
oxygen,el oxígeno,noun
violent attack,el atentado,noun
break,la pausa,noun
reception,la recepción,noun
mum,la ma,noun
magician,el mago,noun
cabin,la cabaña,noun
fame,la fama,noun
respiration,la respiración,noun
shouting match,la grita,noun
servant,el sirviente,noun
agenda,la agenda,noun
loyalty,la lealtad,noun
reduction,la reducción,noun
chaos,el caos,noun
steel,el acero,noun
plastic,el plástico,noun
cooperation,la cooperación,noun
publication,la publicación,noun
disappearance,la desaparición,noun
establishment,el establecimiento,noun
defender,el defensor,noun
oud,el oud,noun
civilization,la civilización,noun
bill,la factura,noun
launch,el lanzamiento,noun
ingredient,el ingrediente,noun
single,el soltero,noun
male,el macho,noun
male dove,el palomo,noun
creator,el creador,noun
confusion,la confusión,noun
defect,el defecto,noun
handling,el manejo,noun
decree,el decreto,noun
piety,la piedad,noun
abuse,el abuso,noun
average,el promedio,noun
opera,la ópera,noun
rank,el rango,noun
jungle,la selva,noun
reflection,el reflejo,noun
ruin,la ruina,noun
continent,el continente,noun
treason,la traición,noun
composition,la composición,noun
embassy,la embajada,noun
transformation,la transformación,noun
shield,el escudo,noun
retirement,el retiro,noun
needle,la aguja,noun
disguise,el disfraz,noun
belief,la creencia,noun
glass,el vidrio,noun
income,la renta,noun
tristeza,la tristeza,noun
obstacle,el obstáculo,noun
fifth,el quinto,noun
aid,el auxilio,noun
hamburger,la hamburguesa,noun
kick,la patada,noun
baseball,el béisbol,noun
delay,el retraso,noun
privilege,el privilegio,noun
tourist,el turista,noun
balloon,el globo,noun
worm,el gusano,noun
surgeon,el cirujano,noun
pregnancy,el embarazo,noun
protocol,el protocolo,noun
angle,el ángulo,noun
cook,el cocinero,noun
charity,la caridad,noun
corn,el maíz,noun
cloth,la tela,noun
towel,la toalla,noun
promotion,la promoción,noun
saving,el ahorro,noun
choir,el coro,noun
outline,el esquema,noun
carpet,la alfombra,noun
horror,el horror,noun
tobacco,el tabaco,noun
gym,el gimnasio,noun
orchestra,la orquesta,noun
salad,la ensalada,noun
seal,el sello,noun
curve,la curva,noun
shark,el tiburón,noun
municipality,el municipio,noun
pie,la tarta,noun
fishing,la pesca,noun
expectation,la expectativa,noun
babysitter,el niñero,noun
routine,la rutina,noun
tattoo,el tatuaje,noun
shore,la orilla,noun
fraud,el fraude,noun
roll,el rollo,noun
communiqué,el comunicado,noun
maintenance,el mantenimiento,noun
comedy,la comedia,noun
sequence,la secuencia,noun
clarity,la claridad,noun
realization,la realización,noun
guest,el huésped,noun
reinforcement,el refuerzo,noun
revision,la revisión,noun
onion,la cebolla,noun
publisher,la editorial,noun
circus,el circo,noun
tract,la extensión,noun
advisor,el asesor,noun
curtain,la cortina,noun
person of male sex,el varón,noun
summit,la cumbre,noun
litre,el litro,noun
pirate,el pirata,noun
torture,la tortura,noun
platform,la plataforma,noun
rite,el ritual,noun
necktie,la corbata,noun
reporter,el reportero,noun
insect,el insecto,noun
fly,la mosca,noun
brother-in-law,el cuñado,noun
passing,el pasaje,noun
record,el récord,noun
traveller,el viajero,noun
approval,la aprobación,noun
satisfaction,la satisfacción,noun
delegate,el delegado,noun
essence,la esencia,noun
poverty,la pobreza,noun
statue,la estatua,noun
backroom,el apartado,noun
childbirth,el parto,noun
duck,el pato,noun
centimetre,el centímetro,noun
garage,el garaje,noun
ash,la ceniza,noun
barrier,la barrera,noun
courage,el coraje,noun
heir,el heredero,noun
authorization,la autorización,noun
top,la cima,noun
cowherd,el vaquero,noun
protein,la proteína,noun
butter,la mantequilla,noun
provision,el suministro,noun
testicle,el cojón,noun
anguish,la angustia,noun
intensity,la intensidad,noun
locality,la localidad,noun
accent,el acento,noun
autumn,el otoño,noun
photographer,el fotógrafo,noun
aggression,la agresión,noun
enthusiasm,el entusiasmo,noun
resignation,la renuncia,noun
"abbreviation of ""síndrome de inmunodeficiencia adquirida""",el sida,noun
fairy,el hada,noun
alley,el callejón,noun
myth,el mito,noun
dining room,el comedor,noun
missile,el misil,noun
psychiatrist,el psiquiatra,noun
integration,la integración,noun
luggage,el equipaje,noun
disorder,el trastorno,noun
cage,la jaula,noun
poll,la encuesta,noun
galaxy,la galaxia,noun
diamonds,el diamantes,noun
long list,el etcétera,noun
mass,la misa,noun
promissory note,el pagaré,noun
city block,la cuadra,noun
liver,el hígado,noun
gang,la pandilla,noun
lemon,el limón,noun
catalan,el catalán,noun
architect,el arquitecto,noun
deceit,el engaño,noun
misery,la miseria,noun
radiation,la radiación,noun
a large box,el cajón,noun
tourism,el turismo,noun
crap,la porquería,noun
modification,la modificación,noun
blessing,la bendición,noun
a latino,el latino,noun
chauffeur,el chofer,noun
handkerchief,el pañuelo,noun
blanket,la manta,noun
villa,la quinta,noun
guardian,el guardián,noun
fortress,la fortaleza,noun
female goat,la cabra,noun
alibi,la coartada,noun
ease,la facilidad,noun
fine,la multa,noun
immunity,la inmunidad,noun
ware,la mercancía,noun
emission,la emisión,noun
kid,el chaval,noun
leather,el cuero,noun
skull,el cráneo,noun
voting,la votación,noun
member of a council,el concejal,noun
proportion,la proporción,noun
caramel,el caramelo,noun
sparrow ),la maya,noun
shithead,el gilipollas,noun
syndrome,el síndrome,noun
fist,el puño,noun
romance,el romance,noun
cocaine,la cocaína,noun
stay,la estancia,noun
sheep,la oveja,noun
accomplice,el cómplice,noun
sailor,el marino,noun
magic word,el hechizo,noun
collision,el choque,noun
shipment,el envío,noun
terrorism,el terrorismo,noun
heredity,la herencia,noun
wool,la lana,noun
skirt,la falda,noun
transfer,la transferencia,noun
well-being,el bienestar,noun
beginner,el novato,noun
stress,el estrés,noun
"clipping of ""papá"": dad",el pa,noun
agriculture,la agricultura,noun
spider,la araña,noun
survival,la supervivencia,noun
throne,el trono,noun
axis,el eje,noun
dwarf,el enano,noun
merit,el mérito,noun
consumer,el consumidor,noun
elephant,el elefante,noun
crossroads,el cruce,noun
corporation,la corporación,noun
statistics,la estadística,noun
orientation,la orientación,noun
lamp,la lámpara,noun
bug,el bicho,noun
cave,la cueva,noun
harvest,la cosecha,noun
autonomy,la autonomía,noun
scar,la cicatriz,noun
rage,la rabia,noun
suretyship,la fianza,noun
ethic,la ética,noun
pole,el polo,noun
microphone,el micrófono,noun
menu,el menú,noun
cardinal,el cardenal,noun
bond,el bono,noun
makeup,el maquillaje,noun
rupture,la ruptura,noun
solidarity,la solidaridad,noun
horizon,el horizonte,noun
baron,el barón,noun
cabinet,el gabinete,noun
marquess,el marqués,noun
utilization,la utilización,noun
homage,el homenaje,noun
sorrow,el duelo,noun
"diminutive of ""hermano""",el hermanito,noun
fondness,el afecto,noun
certainty,la certeza,noun
motorway,la autopista,noun
comparison,la comparación,noun
anxiety,la ansiedad,noun
requirement,la exigencia,noun
ambition,la ambición,noun
parade,el desfile,noun
fragment,el fragmento,noun
flyer,el volante,noun
echo,el eco,noun
fiber,la fibra,noun
parking,el estacionamiento,noun
small battery,la pila,noun
hypothesis,la hipótesis,noun
convention,la convención,noun
tie,el vínculo,noun
maneuver,la maniobra,noun
admiral,el almirante,noun
tranquility,la tranquilidad,noun
freelancer,el autónomo,noun
server,el servidor,noun
wisdom,la sabiduría,noun
sheet,la sábana,noun
vitamin,la vitamina,noun
feeding,la alimentación,noun
showdown,el enfrentamiento,noun
fusion,la fusión,noun
thesis,la tesis,noun
fiction,la ficción,noun
lid,la tapa,noun
focus,el enfoque,noun
trader,el comerciante,noun
quota,la cuota,noun
particle,la partícula,noun
duration,la duración,noun
pet,la mascota,noun
tennis,el tenis,noun
twin,el gemelo,noun
classification,la clasificación,noun
delegation,la delegación,noun
suggestion,la sugerencia,noun
zombie,el zombi,noun
invasion,la invasión,noun
conspiracy,la conspiración,noun
summary,el resumen,noun
female,la hembra,noun
transition,la transición,noun
mud,el barro,noun
worship,el culto,noun
document of certification,el certificado,noun
perception,la percepción,noun
comprehension,la comprensión,noun
all,la totalidad,noun
an interrogation,el interrogatorio,noun
arrow,la flecha,noun
separation,la separación,noun
dependence,la dependencia,noun
sensibility,la sensibilidad,noun
label,la etiqueta,noun
verse,el verso,noun
brake,el freno,noun
alteration,la alteración,noun
sausage,la salchicha,noun
steam,el vapor,noun
withdrawal,la retirada,noun
exportation,la exportación,noun
flow,el flujo,noun
silk,la seda,noun
follower,el seguidor,noun
laundry,el lavado,noun
trunk,el tronco,noun
solace,el consuelo,noun
pencil,el lápiz,noun
café,la cafetería,noun
manifesto,el manifiesto,noun
descent,el descenso,noun
pillow,la almohada,noun
dealer,el traficante,noun
operator,el operador,noun
flour,la harina,noun
skyrocket,el cohete,noun
album,el álbum,noun
recommendation,la recomendación,noun
speciality,la especialidad,noun
estate,el patrimonio,noun
bouncer,el portero,noun
span,el vano,noun
claim or statement of something believed to be true,la afirmación,noun
a boom,el boom,noun
coal,el carbón,noun
learning,el aprendizaje,noun
grant,la beca,noun
cheek,la mejilla,noun
chronicle,la crónica,noun
coke,la coca,noun
abdomen,el vientre,noun
occupation,la ocupación,noun
precision,la precisión,noun
participant,el participante,noun
architecture,la arquitectura,noun
competition,la competición,noun
calendar,el calendario,noun
cigar,el cigarro,noun
concession,la concesión,noun
documentary,el documental,noun
public prosecutor's office,la fiscalía,noun
rehabilitation,la rehabilitación,noun
vein,la vena,noun
bee,la abeja,noun
conquest,la conquista,noun
poof,el marica,noun
garlic,el ajo,noun
projection,la proyección,noun
horn,el cuerno,noun
"diminutive of ""gato""",el gatito,noun
kidney,el riñón,noun
dictatorship,la dictadura,noun
marijuana,la marihuana,noun
fog,la niebla,noun
massage,el masaje,noun
geography,la geografía,noun
messenger,el mensajero,noun
gunfight,el tiroteo,noun
compassion,la compasión,noun
a male stripper,el boy,noun
autopsy,la autopsia,noun
stability,la estabilidad,noun
buyer,el comprador,noun
moustache,el bigote,noun
ammunition,la munición,noun
exploitation,la explotación,noun
tactic,la táctica,noun
policy,el reglamento,noun
bay,la bahía,noun
observer,el observador,noun
domicile,el domicilio,noun
chip,la ficha,noun
statute,el estatuto,noun
doggy,el perrito,noun
liqueur,el licor,noun
attraction,la atracción,noun
precaution,la precaución,noun
eternity,la eternidad,noun
turtle,la tortuga,noun
portal,el portal,noun
deficit,el déficit,noun
fare,la tarifa,noun
antiquity,la antigüedad,noun
objection,la objeción,noun
van,la furgoneta,noun
magistrate,el magistrado,noun
godfather,el padrino,noun
cube,el cubo,noun
secretariat,la secretaría,noun
rubber,la goma,noun
shooter,el tirador,noun
refugee,el refugiado,noun
matriculation,la matrícula,noun
link,el enlace,noun
expansion,la expansión,noun
eagle,el águila,noun
submarine,el submarino,noun
hip,la cadera,noun
shine,el brillo,noun
utility,la utilidad,noun
small bench,la banca,noun
rib,la costilla,noun
efficacy,la eficacia,noun
sleeve,la manga,noun
nest,el nido,noun
fright,el susto,noun
idol,el ídolo,noun
role,el rol,noun
fighter,el luchador,noun
veteran,el veterano,noun
founder,el fundador,noun
blockade,el bloqueo,noun
variation,la variación,noun
hearing,la audición,noun
straight line,la recta,noun
orbit,la órbita,noun
programming,la programación,noun
squadron,el escuadrón,noun
inspection,la inspección,noun
franc,el franco,noun
goodness,la bondad,noun
psychology,la psicología,noun
trajectory,la trayectoria,noun
sphere,la esfera,noun
injection,la inyección,noun
democrat,el demócrata,noun
addict,el adicto,noun
muslim,el musulmán,noun
width,el ancho,noun
inspiration,la inspiración,noun
vegetable,la verdura,noun
barrel,el barril,noun
outward leg,la ida,noun
appetite,el apetito,noun
castilian,el castellano,noun
administrator,el administrador,noun
brick,el ladrillo,noun
comet,el cometa,noun
balcony,el balcón,noun
graduation,la graduación,noun
persecution,la persecución,noun
correction,la corrección,noun
an oath,el juramento,noun
ankle,el tobillo,noun
admirer,el admirador,noun
puppy,el cachorro,noun
whale,la ballena,noun
stimulus,el estímulo,noun
polemic,la polémica,noun
a spoonful,la cucharada,noun
siren,la sirena,noun
a milanesa made with chicken,la suprema,noun
equality,la igualdad,noun
gram,el gramo,noun
orphan,el huérfano,noun
coffin,el ataúd,noun
railway,el ferrocarril,noun
hemorrhage,la hemorragia,noun
introduction,la introducción,noun
conviction,la convicción,noun
transit,el tránsito,noun
butterfly,la mariposa,noun
knot,el nudo,noun
nail,el clavo,noun
trillion,el billón,noun
donkey,el burro,noun
infrastructure,la infraestructura,noun
obsession,la obsesión,noun
mandate,el mandato,noun
limitation,la limitación,noun
documentation,la documentación,noun
athlete,el atleta,noun
capture,la captura,noun
bailiff,el alguacil,noun
prestige,el prestigio,noun
pearl,la perla,noun
radio station,la emisora,noun
frog,la rana,noun
backpack,la mochila,noun
temptation,la tentación,noun
young hen,la polla,noun
difficulty,el apuro,noun
father-in-law,el suegro,noun
abortion,el aborto,noun
thug,el matón,noun
perfection,la perfección,noun
composer,el compositor,noun
cocoon,el capullo,noun
wine cellar,la bodega,noun
collaborator,el colaborador,noun
fisherman,el pescador,noun
coalition,la coalición,noun
host,el anfitrión,noun
cotton,el algodón,noun
compliance,el cumplimiento,noun
house music,el house,noun
homosexual man,el maricón,noun
nut,la nuez,noun
earthquake,el terremoto,noun
dynamic,la dinámica,noun
insult,el insulto,noun
suspension,la suspensión,noun
antenna,la antena,noun
scenery,el panorama,noun
gypsy,el gitano,noun
residue,el residuo,noun
drunkenness,la mona,noun
wineskin,la borracha,noun
sock,el calcetín,noun
drugstore,la farmacia,noun
shelter,el asilo,noun
mansion,la mansión,noun
innocence,la inocencia,noun
chimney,la chimenea,noun
fury,la furia,noun
engineering,la ingeniería,noun
urine,la orina,noun
fanatic,el fanático,noun
pitch,la cancha,noun
intimacy,la intimidad,noun
finance,la finanza,noun
third,el tercio,noun
"clipping of ""autobús""",el bus,noun
inflation,la inflación,noun
clothing,el vestuario,noun
vagabond,el vagabundo,noun
monitoring,el seguimiento,noun
sweat,el sudor,noun
complication,la complicación,noun
sculpture,la escultura,noun
dude,el we,noun
legislation,la legislación,noun
trophy,el trofeo,noun
armchair,el sillón,noun
psychopath,el psicópata,noun
determination,la determinación,noun
explosive,el explosivo,noun
toast,el brindis,noun
premiere,el estreno,noun
fracture,la fractura,noun
fungus,el hongo,noun
briefcase,el maletín,noun
drum,el tambor,noun
auction,la subasta,noun
